,brand,ram_gb,storage_gb,expandable_storage,battery_type,battery_mah,rear_camera_mp,front_camera_mp,rear_camera_count,rating,reviews,price,display_inch,processor_family,warranty_months
443,Samsung,12 GB RAM,256 GB ROM,Expandable Upto 1 TB,lithium-ion battery,4500.0,132,10.0,3,,,104999,6.9,Exynos,12.0
444,Samsung,8 GB RAM,512 GB ROM,Expandable Upto 1 TB,lithium-ion battery,4500.0,65,32.0,3,4.5,2616.0,47999,6.7,Snapdragon,12.0
445,Redmi,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,standard battery,4000.0,14,32.0,2,4.4,225.0,12999,6.26,Snapdragon,12.0
446,Nokia,2 GB RAM,16 GB ROM,Expandable Upto 128 GB,standard battery,3000.0,13,8.0,1,4.0,167.0,11990,5.2,Snapdragon,12.0
447,Alcatel,3 GB RAM,32 GB ROM,,standard battery,4000.0,16,13.0,1,4.4,31.0,9550,6.2,,18.0
448,Gionee,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4050.0,15,13.0,2,4.1,625.0,7499,6.26,Spreadtrum,12.0
449,Moto,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,standard battery,3000.0,15,8.0,2,4.1,6383.0,7999,6.1,Mediatek,12.0
450,Samsung,4 GB RAM,64 GB ROM,,standard battery,6000.0,48,,1,4.3,299.0,14140,6.4,,
451,OnePlus,10 GB RAM,256 GB ROM,,standard battery,3700.0,36,16.0,2,4.4,0.0,39999,6.41,,12.0
452,YUHO,2 GB RAM,16 GB ROM,,standard battery,2750.0,8,,1,2.8,2.0,5499,5.5,,12.0
453,Lenovo,2 GB RAM,32 GB ROM,,li-polymer battery,2300.0,13,5.0,1,3.7,905.0,17499,5.0,Mediatek,12.0
454,Lenovo,4 GB RAM,64 GB ROM,Expandable Upto 2 TB,standard battery,4050.0,26,16.0,3,4.1,367.0,11499,6.22,Other,12.0
455,Samsung,4 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,3300.0,13,13.0,1,4.3,21532.0,19900,5.7,Mediatek,12.0
456,Karbonn,1 GB RAM,8 GB ROM,Expandable Upto 32 GB,standard battery,2300.0,5,2.0,1,3.6,31.0,3599,5.0,,12.0
457,Karbonn,1 GB RAM,8 GB ROM,Expandable Upto 32 GB,standard battery,2300.0,5,,1,3.6,31.0,3598,5.0,,12.0
458,Lava,2 GB RAM,16 GB ROM,Expandable Upto 64 GB,standard battery,3000.0,8,5.0,1,4.2,52.0,5050,5.45,Other,12.0
459,Samsung,6 GB RAM,64 GB ROM,Expandable Upto 512 GB,lithium-ion battery,4000.0,38,25.0,3,4.4,960.0,18999,6.4,Exynos,
460,Samsung,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,lithium-ion battery,4000.0,38,25.0,3,4.3,5976.0,15499,6.4,Exynos,
461,Mi,4 GB RAM,64 GB ROM,,standard battery,3010.0,32,20.0,2,4.2,2835.0,10599,5.99,Snapdragon,12.0
462,Asus,4 GB RAM,64 GB ROM,Expandable Upto 2 TB,standard battery,5000.0,18,8.0,2,4.3,37210.0,8999,5.99,Snapdragon,12.0
463,ITEL,2 GB RAM,32 GB ROM,,standard battery,2400.0,8,,1,4.1,46.0,4699,5.45,,12.0
464,OPPO,6 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,3600.0,18,25.0,2,4.3,107.0,13990,6.41,Snapdragon,
465,Lava,2 GB RAM,16 GB ROM,Expandable Upto 128 GB,lithium polymer battery,3100.0,8,5.0,1,4.1,31.0,6499,5.45,Unisoc,12.0
